Title,Conference,Type,Application,MLTech,OpenReviewLink
PathGen-1.6M: 1.6 Million Pathology Image-text Pairs Generation through Multi-agent Collaboration,ICLR_2025,Poster,Healthcare,,https://openreview.net/forum?id=rFpZnn11gj
Periodic Materials Generation using Text-Guided Joint Diffusion Model,ICLR_2025,Poster,Materials,Diffusion_Model,https://openreview.net/forum?id=AkBrb7yQ0G
PharmacoMatch: Efficient 3D Pharmacophore Screening via Neural Subgraph Matching,ICLR_2025,Poster,Chemistry,Contrastive_Learning,https://openreview.net/forum?id=27Qk18IZum
PhyloVAE: Unsupervised Learning of Phylogenetic Trees via Variational Autoencoders,ICLR_2025,Poster,Biology,,https://openreview.net/forum?id=Z8TglKXDWm
PhyMPGN: Physics-encoded Message Passing Graph Network for spatiotemporal PDE systems,ICLR_2025,Poster,Physics,Graph_Neural_Network,https://openreview.net/forum?id=fU8H4lzkIm
PhysBench: Benchmarking and Enhancing Vision-Language Models for Physical World Understanding,ICLR_2025,Poster,Physics,Language_Model,https://openreview.net/forum?id=Q6a9W6kzv5
Physics-aligned field reconstruction with diffusion bridge,ICLR_2025,Poster,Physics,Diffusion_Model,https://openreview.net/forum?id=D042vFwJAM
Physics-Informed Deep Inverse Operator Networks for Solving PDE Inverse Problems,ICLR_2025,Poster,Physics,,https://openreview.net/forum?id=0FxnSZJPmh
Physics-Informed Diffusion Models,ICLR_2025,Poster,Physics,Diffusion_Model,https://openreview.net/forum?id=tpYeermigp
Physiome-ODE: A Benchmark for Irregularly Sampled Multivariate Time-Series Forecasting Based on Biological ODEs,ICLR_2025,Poster,Biology,,https://openreview.net/forum?id=6ouZaBzeNO
PhysPDE: Rethinking PDE Discovery and a Physical HYpothesis Selection Benchmark,ICLR_2025,Poster,Physics,,https://openreview.net/forum?id=G3CpBCQwNh
PIED: Physics-Informed Experimental Design for Inverse Problems,ICLR_2025,Poster,Physics,,https://openreview.net/forum?id=w7P92BEsb2
PIG: Physics-Informed Gaussians as Adaptive Parametric Mesh Representations,ICLR_2025,Poster,Physics,,https://openreview.net/forum?id=y5B0ca4mjt
PINP: Physics-Informed Neural Predictor with latent estimation of fluid flows,ICLR_2025,Poster,Physics,,https://openreview.net/forum?id=vAuodZOQEZ
PIORF: Physics-Informed Ollivier-Ricci Flow for Long–Range Interactions in Mesh Graph Neural Networks,ICLR_2025,Poster,Physics,Graph_Neural_Network,https://openreview.net/forum?id=qkBBHixPow
Poisson-Dirac Neural Networks for Modeling Coupled Dynamical Systems across Domains,ICLR_2025,Poster,Physics,Neural_Network,https://openreview.net/forum?id=U1DjXQeJRx
Population Transformer: Learning Population-level Representations of Neural Activity,ICLR_2025,Poster,Neurosciences,Transformer,https://openreview.net/forum?id=FVuqJt3c4L
PostCast: Generalizable Postprocessing for Precipitation Nowcasting via Unsupervised Blurriness Modeling,ICLR_2025,Poster,Earth_Sciences,Diffusion_Model,https://openreview.net/forum?id=v2zcCDYMok
PRDP: Progressively Refined Differentiable Physics,ICLR_2025,Poster,Physics,,https://openreview.net/forum?id=9Fh0z1JmPU
Predicting the Energy Landscape of Stochastic Dynamical System via  Physics-informed Self-supervised Learning,ICLR_2025,Poster,Physics,,https://openreview.net/forum?id=PxRATSTDlS
Procedural Synthesis of Synthesizable Molecules,ICLR_2025,Poster,Chemistry,,https://openreview.net/forum?id=OGfyzExd69
Prompt as Knowledge Bank: Boost Vision-language model via Structural Representation for  zero-shot medical detection,ICLR_2025,Poster,Healthcare,Language_Model,https://openreview.net/forum?id=l0t2rumAvR
ProtComposer: Compositional Protein Structure Generation with 3D Ellipsoids,ICLR_2025,Poster,Biology,Generative_Model,https://openreview.net/forum?id=0ctvBgKFgc
Proteina: Scaling Flow-based Protein Structure Generative Models,ICLR_2025,Poster,Biology,,https://openreview.net/forum?id=TVQLu34bdw
ProteinBench: A Holistic Evaluation of Protein Foundation Models,ICLR_2025,Poster,Biology,,https://openreview.net/forum?id=BksqWM8737
Protein Language Model Fitness is a Matter of Preference,ICLR_2025,Poster,Biology,Language_Model,https://openreview.net/forum?id=UvPdpa4LuV
Prototype antithesis for biological few-shot class-incremental learning,ICLR_2025,Poster,Biology,,https://openreview.net/forum?id=bRqaHn3J5I
ProtPainter: Draw or Drag Protein via Topology-guided Diffusion,ICLR_2025,Poster,Biology,Diffusion_Model,https://openreview.net/forum?id=Nq7yKYL0Bp
"Pushing the Limits of All-Atom Geometric Graph Neural Networks: Pre-Training, Scaling, and Zero-Shot Transfer",ICLR_2025,Poster,Chemistry,Geometric_Deep_Learning,https://openreview.net/forum?id=4S2L519nIX
