Title,Conference,Type,Application,MLTech,OpenReviewLink
"Towards a ""Universal Translator"" for Neural Dynamics at Single-Cell, Single-Spike Resolution",NeurIPS_2024,Poster,Multidisciplinary,transformer,https://openreview.net/forum?id=nRRJsDahEg
Towards Effective Planning Strategies for Dynamic Opinion Networks,NeurIPS_2024,Poster,Social_science,reinforcement_learning,https://openreview.net/forum?id=LYivxMp5es
Towards Multi-dimensional Explanation Alignment for Medical Classification,NeurIPS_2024,Poster,Medical_healthcare,neural_network,https://openreview.net/forum?id=3A5VgiH5Pw
Towards Open Respiratory Acoustic Foundation Models: Pretraining and Benchmarking,NeurIPS_2024,Poster,Medical_healthcare,foundation_model,https://openreview.net/forum?id=vXnGXRbOfb
Towards Stable Representations for Protein Interface Prediction,NeurIPS_2024,Poster,Biology,neural_network,https://openreview.net/forum?id=OEWBkLrRZu
Towards Universal Mesh Movement Networks,NeurIPS_2024,Poster,Physics,graph_transformer,https://openreview.net/forum?id=lcALCNF2qe
Training Compute-Optimal Protein Language Models,NeurIPS_2024,Poster,Biology,transformer,https://openreview.net/forum?id=uCZI8gSfD4
Trajectory Flow Matching with Applications to Clinical Time Series Modelling,NeurIPS_2024,Poster,Medical_healthcare,flow_matching,https://openreview.net/forum?id=fNakQltI1N
Transferable Boltzmann Generators,NeurIPS_2024,Poster,Chemistry,normalizing_flow,https://openreview.net/forum?id=AYq6GxxrrY
TurboHopp: Accelerated Molecule Scaffold Hopping with Consistency Models,NeurIPS_2024,Poster,Chemistry,diffusion_model,https://openreview.net/forum?id=lBh5kuuY1L
Ultrafast classical phylogenetic method beats large protein language models on variant effect prediction,NeurIPS_2024,Poster,Biology,phylogenetic_algorithm,https://openreview.net/forum?id=H7mENkYB2J
Unified Guidance for Geometry-Conditioned Molecular Generation,NeurIPS_2024,Poster,Chemistry,diffusion_model,https://openreview.net/forum?id=HeoRsnaD44
Unified Insights: Harnessing Multi-modal Data for Phenotype Imputation via View Decoupling,NeurIPS_2024,Poster,Medical_healthcare,neural_network,https://openreview.net/forum?id=8B3sAX889P
UniIF: Unified Molecule Inverse Folding,NeurIPS_2024,Poster,Multidisciplinary,geometric_deep_learning,https://openreview.net/forum?id=clqX9cVDKV
UniTox: Leveraging LLMs to Curate a Unified Dataset of Drug-Induced Toxicity from FDA Labels,NeurIPS_2024,Poster,Medical_healthcare,,https://openreview.net/forum?id=Vb1vVr75JT
Universal Physics Transformers: A Framework For Efficiently Scaling Neural Operators,NeurIPS_2024,Poster,Physics,transformer,https://openreview.net/forum?id=oUXiNX5KRm
FlexSBDD: Structure-Based Drug Design with Flexible Protein Modeling,NeurIPS_2024,Poster,Chemistry,flow_matching;E(3)-equivariant_network;generative_model,https://openreview.net/forum?id=4AB54h21qG
PocketFlow: Generalized Protein Pocket Generation with Prior-Informed Flow Matching,NeurIPS_2024,Poster,Chemistry,flow_matching;equivariant_network;generative_model,https://openreview.net/forum?id=WyVTj77KEV
PepGLAD: Full-Atom Peptide Design with Geometric Latent Diffusion,NeurIPS_2024,Poster,Chemistry,diffusion_model;VAE;equivariant_network,https://openreview.net/forum?id=IAQNJUJe8q
Generating Highly Designable Proteins with Geometric Algebra Flow Matching,NeurIPS_2024,Poster,Chemistry,flow_matching;equivariant_transformer,https://openreview.net/forum?id=nAnEStxyfy
FlowLLM: Flow Matching for Material Generation with Large Language Models as Base Distributions,NeurIPS_2024,Poster,Materials,flow_matching;large_language_model;graph_representation,https://openreview.net/forum?id=0bFXbEMz8e
Generative Hierarchical Materials Search (GenMS),NeurIPS_2024,Poster,Materials,diffusion_model;language_model;tree_search,https://openreview.net/forum?id=PsPR4NOiRC
